no_surat,konten,isi_surat,jenis
21,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penelitian matching fund kerjasama dengan dikti dengan judul
pengembangan virtual reality sebagai sarana promosi destinasi wisata berbasis komunitas dalam
rangka meningkatkan animo kunjungan wisatawan yang dilaksanakan di fakultas mipa ugm dan
wilayah nusa tenggara timur pada tanggal 1 agustus 2022 s.d. 31 desember 2022.
",penelitian
22,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan tes yang dilaksanakan di ters pada tanggal 2 desember 2.
",bukan keduanya
23,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pengabdian kepada masyarakat (pkm) dengan tema refresing atau
penyegaran beberapa materi pembelajaran di sma yang dilaksanakan di mgmp matematika sma
kabupaten brebes, jawa tengah pada tanggal 4 oktober 2022 s.d. 5 oktober 2022.
",pengabdian masyarakat
24,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir i program sarjana program
studi matematika yang dilaksanakan di ruang sidang ii departemen matematika lt. 3 fmipa ugm
pada tanggal 9 maret 2023.
",bukan keduanya
25,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing yang dilaksanakan pada tanggal 9 desember 2022.
",bukan keduanya
26,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop dengan tema ?penulisan proposal hibah penelitian
internasional? yang dilaksanakan di hotel mercure sanur, denpasar, bali pada tanggal 4 desember
2022.
kegiatan ini diselenggarakan oleh fakultas teknologi pertanian, universitas udayana.
",bukan keduanya
27,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan pengenalan instrumen laboratorium balai konservasi
borobudur 2022 yang dilaksanakan di ruang sidang dan ruang laboratorium balai konservasi
borobudur jl. badrawati, borobudur, magelang pada tanggal 9 november 2022 s.d. 10 november 2022.
",bukan keduanya
28,hide," melaksanakan kerja praktik di kantor otoritas jasa keuangan dari 4 september 2023 s.d
27 oktober 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
29,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dalam rangka kegiatan belajar mengajar dari
jogjakarta montessori school yang dilaksanakan di departemen fisika, fakultas mipa universitas
gadjah mada pada tanggal 6 februari 2023.
",bukan keduanya
30,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan lembur kerja pelayanan praktikum pengganti mata kuliah wajib
praktikum eksperimen fisika modern, praktikum eksperimen fisika atom & molekul dan praktikum
eksperimen fisika inti yang dilaksanakan di ruang praktikum laboratorium fisika atom & inti,
departemen fisika, fmipa ugm pada tanggal 6 mei 2023, 20 mei 2023, dan 27 mei 2023.
",bukan keduanya
31,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kolokium program studi s3 fisika universitas hasanuddin yang
dilaksanakan di fakultas mipa universitas hasanuddin, makassar pada tanggal 6 maret 2023.
",bukan keduanya
32,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pengiriman dokumen final report passive seismic survey area piraiba
dan tanjung barat yang dilaksanakan di pt pertamina hulu indonesia graha elnusa lt. 8 jl. tb
simatupang kav 1b jakarta 12560, indonesia pada tanggal 28 november 2022 s.d. 29 november 2022.
",penelitian
33,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi keperluan tunjangan anak pns
",bukan keduanya
34,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pendaftaran ujian pai.
",bukan keduanya
35,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan yang dilaksanakan pada tanggal 2 desember 2.
",bukan keduanya
36,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan turnamen futsal dalam rangka dies natalis ke-73 universitas gadjah
mada tahun 2022 yang dilaksanakan di gor pancasila universitas gadjah mada pada tanggal 3
desember 2022 s.d. 11 desember 2022.
",bukan keduanya
37,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan portofolio mini update dan baru berbasis oba dan obe program studi
geofisika yang dilaksanakan di the manohara hotel yogyakarta, jalan affandi no 35, gejayan,
yogyakarta pada tanggal 19 november 2022.
",bukan keduanya
38,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai graders untuk prodi s1 ilkom dan prodi s1 elins departemen
ilmu komputer dan elektronika fmipa ugm yang dilaksanakan pada tanggal 15 agustus 2022 s.d. 31
desember 2022.
",bukan keduanya
39,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
40,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan inisiasi kerja sama dalam bidang pendidikan dan penelitian antara
fakultas mipa ugm dengan department of computer information and network engineering,
lunghwa university of science and technology yang dilaksanakan di lunghwa university of science
and technology pada tanggal 9 desember 2022 s.d. 14 desember 2022.
",penelitian
41,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan klinik akreditasi yang dilaksanakan di medan pada tanggal 24 februari
2023.
",bukan keduanya
42,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis i dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang sidang gedung s2/s3 fmipa lantai 3
pada tanggal 6 april 2023.
",bukan keduanya
43,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai dosen pengampu mata kuliah yang dilaksanakan di fmipa
ugm pada tanggal 5 desember 2022 s.d. 16 desember 2022.
berikut merupakan penyerahan di keuangan yang ke satu
",bukan keduanya
44,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa di semester genap ta.
2022/2023
",bukan keduanya
45,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai narasumber dalam acara pemantapan mutu borang program
studi di fakultas sains dan teknologi uin raden fatah yang dilaksanakan secara daring melalui zoom
pada tanggal 29 november 2022.
",bukan keduanya
46,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan yang dilaksanakan pada tanggal 2 desember 2.
",bukan keduanya
47,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dan menyampaikan materi serta informasi terkait
departemen ike yang mencakup program studi ilkom dan program studi elins yang dilaksanakan di
departemen ilmu komputer dan elektronika fmipa ugm pada tanggal 16 desember 2022.
",bukan keduanya
48,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan lingkar studi sains periode 2022 yang dilaksanakan di fakultas
matematika dan ilmu pengetahuan alam universitas gadjah mada pada tanggal 1 januari 2022 s.d. 31
desember 2022.
",bukan keduanya
49,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan praktikum lapangan non seismik yang dilaksanakan di desa kasihan,
kecamatan tegalombo, kabupaten pacitan, jawa timur pada tanggal 16 november 2022 s.d. 22
november 2022.
",bukan keduanya
50,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan rakerta akhir tahun 2022 dengan tema internasionalisasi program studi
sebagai strategi untuk mendukung world class university fakultas sains dan matematika universitas
diponegoro yang dilaksanakan di the royal surakarta heritage, jl. slamet riyadi st. no. 6 kampung
baru, pasar kliwon surakarta pada tanggal 9 desember 2022 s.d. 10 desember 2022.
",bukan keduanya
51,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seleksi calon reviewer penelitian (batch 2) yang dilaksanakan di
millenium hotel, jl. fachrudin no. 3. kp. bali, kecamatan tanah abang, jakarta, daerah khusus
ibukota jakarta pada tanggal 8 desember 2022 s.d. 10 desember 2022.
",penelitian
52,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
53,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan finalisasi dokumen rencana induk spbe bapeten yang dilaksanakan
di hotel mercure batavia, jln. kali besar barat no. 44 jakarta pada tanggal 28 november 2022 s.d. 29
november 2022.
",pengabdian masyarakat
54,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai instruktur /dosen dan plp pengampu praktikum kimia fisika 1
pada semester ganjil tahun akademik 2022/2023 yang dilaksanakan pada tanggal 1 agustus 2022 s.d.
31 januari 2023.
",bukan keduanya
55,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kejuaraan nasional (kejurnas) bridge 2022? dan ?liga bridge
mahasiswa nasional (lbmn) 2022 yang dilaksanakan di gabsi surakarta jawa tengah pada tanggal
25 november 2022 s.d. 2 desember 2022.
",bukan keduanya
56,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
57,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dari sekolah sma sabilillah malang yang
dilaksanakan secara daring menggunakan aplikasi zoom meeting pada tanggal 8 desember 2022.
",bukan keduanya
58,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing pengembangan pengelolaan mbkm mandiri
program studi kimia untuk mendukung pencapaian iku 2 jumlah mahasiswa di luar kampus yang
dilaksanakan di departemen kimia fmipa ugm pada tanggal 1 agustus 2022 s.d. 31 desember 2022.
",bukan keduanya
59,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan discussion for collaboration with the school of mathematical sciences,
college of computing, informatics and media uitm shah alam yang dilaksanakan di bilik mesyuarat
fakulti (cs), college of computing, informatics and media uitm shah alam pada tanggal 16
desember 2022.
",bukan keduanya
60,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop standarisasi dan sertifikasi produk artificial intelligence (ai)
yang diselenggarakan oleh satuan artificial intelligence dan publikasi ilmiah (saip) universitas negeri
surabaya yang dilaksanakan secara daring pada tanggal 22 september 2022.
",bukan keduanya
61,hide,,bukan keduanya
62,hide,,bukan keduanya
63,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan klinik proposal penelitian yang dilaksanakan di auditorium lt 3,
gedung kh mas mansur fakultas teknologi industri universitas islam indonesia jalan kaliurang km.
14,5 ngemplak sleman pada tanggal 14 maret 2023.
",penelitian
64,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penelaahan item soal tahap 3 seleksi nasional berdasarkan tes tahun
2023 yang dilaksanakan di hotel fairmont jl. asia afrika no.8 senayan, jakarta pusat 10270 pada
tanggal 25 november 2022 s.d. 27 november 2022.
",bukan keduanya
65,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing pendamping skripsi bagi mahasiswa program
sarjana program studi geofisika yang dilaksanakan di departemen fisika fakultas matematika dan
ilmu pengetahuan alam universitas gadjah mada pada tanggal 1 desember 2022 s.d. 31 januari 2023.
",bukan keduanya
66,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penelaahan item soal tahap 2 seleksi nasional berdasarkan tes tahun
2023 yang dilaksanakan di hotel fairmont, jl. asia afrika no.8 senayan, jakarta pusat pada tanggal 18
november 2022 s.d. 20 november 2022.
",bukan keduanya
67,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pendaftaran ujian sertifikasi
persatuan aktuaris indonesia.
",bukan keduanya
68,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi mengikuti ujian persatuan
aktuaris indonesia yang akan dilaksanakan pada bulan mei 2023.
",bukan keduanya
69,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan akreditasi internasional royal society of chemistry (rsc) program
studi magister kimia departemen kimia fakultas mipa ugm sebagai staf pelaksana persiapan
akreditasi internasional royal society of chemistry (rsc) yang dilaksanakan di fakultas mipa ugm
pada tanggal 1 agustus 2022 s.d. 30 november 2022.
",bukan keduanya
70,hide,,bukan keduanya
71,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan sekolah menengah atas yang dilaksanakan di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada pada tanggal 27 februari
2023 s.d. 3 maret 2023.
no asal sekolah tanggal
1man 15 jakarta 27 februari 2023
2sma n 1 klapanunggal, bogor 2 maret 2023
3sma perguruan ksatrya, jakarta pusat 3 maret 2023
",bukan keduanya
72,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pencairan biaya hidup beasiswa
bpi.
",bukan keduanya
73,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan presentasi hasil perbaikan masukkan reviewer yang dilaksanakan di
ruang sidang 1 departemen matematika fmipa ugm lt. 3 pada tanggal 27 maret 2023.
",bukan keduanya
74,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing utama skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 24 maret 2023.
",bukan keduanya
75,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan courtesy visit dan audiensi dengan kepala otorita ibu kota negara
nusantara (oikn) yang dilaksanakan di kantor oikn, menara mandiri tower ii, jl. jenderal
sudirman, kav. 54-55, jakarta selatan pada tanggal 14 maret 2023.
",pengabdian masyarakat
76,hide,,bukan keduanya
77,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan aktivasi matching fund 2022 dengan judul pengembangan
model dan revalidasi metodologi valuasi harga pasar wajar (hpw) obligasi indonesia
yang dilaksanakan di jakarta pada tanggal 13 september 2022 s.d. 14 september 2022.
",bukan keduanya
78,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seleksi substansi calon penerima beasiswa lpdp tahun 2022 yang
dilaksanakan secara dalam jaringan (daring) melalui aplikasi zoom meeting pada tanggal 4 oktober
2022 s.d. 7 oktober 2022.
",bukan keduanya
79,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelaksanaan ujian akhir semester (uas) semester i t.a. 2022/2023 di
program studi magister matematika yang dilaksanakan di gedung s2/s3 fmipa ugm lt. 3 pada
tanggal 12 desember 2022 s.d. 23 desember 2022.
",bukan keduanya
80,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan observer kuliah umum program studi administrasi asuransi dan
aktuaria, program pendidikan vokasi ui sekaligus diskusi beberapa sertifikasi untuk mahasiswa ilmu
aktuaria dan diskusi penelitian kolaboratif dengan axa mandiri financial service yang dilaksanakan di
universitas indonesia dan axa mandiri financial service pada tanggal 28 november 2022.
",bukan keduanya
81,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan tutor dan grader kalkulus ii yang dilaksanakan di fmipa ugm pada
tanggal 1 januari 2022 s.d. 30 juni 2022.
surat tugas ini diajukan agar mahasiswa dapat mendapatkan haknya berupa honorarium sebagai tutor
dan grader.
",bukan keduanya
82,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan persiapan dan pelaksanaan presentasi laporan akhir di mitra matching
fund 2022 yang dilaksanakan di jakarta pada tanggal 12 desember 2022 s.d. 15 desember 2022.
",bukan keduanya
83,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pelaporan akademik beasiswa
pendidikan indonesia oleh kemendikbud dan lpdp (s1 beasiswa indonesia maju).
",bukan keduanya
84,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan test yang dilaksanakan di lapangan pada tanggal 25 oktober 2022 s.d.
28 oktober 2022.
",bukan keduanya
85,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pendaftaran ujian pai melalui
jalur mahasiswa
",bukan keduanya
86,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan persiapan dokumen akreditasi internasional royal society of chemistry
yang dilaksanakan di ruang rapat lpmpp universitas mataram, mataram, nusa tenggara barat pada
tanggal 14 oktober 2022 s.d. 15 oktober 2022.
",bukan keduanya
87,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pameran internasional indo defence tahun 2022 yang dilaksanakan di
jakarta internatioal expo, kemayoran, jakarta utara pada tanggal 30 oktober 2022 s.d. 6 november
2022.
",bukan keduanya
88,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan kurikulum merdeka bidang informatika bagi guru smp
kulon progo yang dilaksanakan secara daring pada tanggal 24 oktober 2022 s.d. 19 november 2022.
",pengabdian masyarakat
89,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan asisten praktikum lab. instrumentasi dasar semester gasal t.a.
2022/2023 yang dilaksanakan di laboratorium instrumentasi dasar dike fmipa ugm.
",bukan keduanya
90,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan studi visit dalam rangka pembangunan prototipe peringatan dini
gempabumi indonesia (indonesia earthqueke early warning system atan inaeews) yang dilaksanakan
di jepang pada tanggal 12 desember 2022 s.d. 17 desember 2022.
kegiatan tersebut diselenggarakan oleh bmkg dan segala biaya pengurusan dokumen perjalanan dan
akomodasi akan ditanggung oleh pihak penyelenggara.
",bukan keduanya
91,hide," aktif terdaftar sebagai mahasiswa pada semester ganjil tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pelaporan akademik beasiswa
pendidikan indonesia oleh kemendikbud dan lpdp (s1 beasiswa indonesia maju).
",bukan keduanya
92,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pertemuan dengan mitra dalam rangka aktivitas matching fund 2022
yang dilaksanakan di jakartapada tanggal 23 november 2022 s.d. 25 november 2022.
",bukan keduanya
93,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi tunjangan gaji orang tua
",bukan keduanya
94,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seminar nasional dan pameran produk inovasi dengan tema ?inovasi
teknologi pertanian dalam mewujudkan kemandirian pangan nasional yang berkelanjutan di era
society 5.0. yang dilaksanakan di ruang dr. a.a. made djelantik fakultas kedokteran universitas
udayana, kampus sudirman denpasar pada tanggal 14 oktober 2022 s.d. 15 oktober 2022.
kegiatan seminar nasional dan pameran produk inovasi ini diselenggarakan oleh fakultas teknologi
pertanian, universitas udayana.
",bukan keduanya
95,hide,,bukan keduanya
96,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai anggota penguji skripsi bagi mahasiswa program sarjana
program studi geofisika yang dilaksanakan di departemen fisika, fakultas matematika dan ilmu
pengetahuan alam, universitas gadjah mada pada tanggal 1 desember 2022 s.d. 31 januari 2023.
",bukan keduanya
97,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan nilai uas sem. gasal 22-23 yang dilaksanakan di akademik fmipa
pada tanggal 5 desember 2022 s.d. 16 februari 2023.
",bukan keduanya
98,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan musyawarah nasional (munas), seminar nasional tik, dan
international conference on informatics and computing(icic) aptikom 2022 yang dilaksanakan di
sanur denpasar, bali pada tanggal 7 desember 2022 s.d. 11 desember 2022.
",bukan keduanya
